T0 Wins % Last 5,T0 Passing Yrds,T0 Rushing Yrds,T0 Total Yrds,T0 Avg Pass Yrds/Att,T0 Avg Rush Yrds/Att,T0 Penalty Yrds,T0 Total Plays,T0 Fum Lost,T0 TOP (min),T0 First Downs,T0 Interceptions,T0 TDs,T0 Field Goals,T0 Points,T0 Sacked,T1 Wins % Last 5,T1 Passing Yrds,T1 Rushing Yrds,T1 Total Yrds,T1 Avg Pass Yrds/Att,T1 Avg Rush Yrds/Att,T1 Penalty Yrds,T1 Total Plays,T1 Fum Lost,T1 TOP (min),T1 First Downs,T1 Interceptions,T1 TDs,T1 Field Goals,T1 Points,T1 Sacked,Home Team,Result?
4,330,134,464,9.2,5.4,77,66,0,32,23,1,2,2,21,3,4,281,80,361,9,3.3,64,58,0,28,26,0,4,0,28,2,1,1
4,451,56,507,7.9,3.7,119,76,2,30,27,0,4,4,40,2,3,189,160,349,8.1,5.9,140,65,0,30,23,3,5,0,32,8,1,0
2,236,57,293,7.3,2.9,114,55,0,25,15,1,2,1,17,2,5,346,125,471,8.5,3.9,30,76,0,35,35,0,6,3,51,2,1,1
5,247,109,356,10.2,4.7,64,55,0,27,20,0,3,3,30,5,2,163,102,265,4.8,4.2,50,66,1,33,18,1,0,2,6,3,1,0
5,301,116,417,8.4,4.6,72,64,0,27,22,1,4,2,34,2,3,289,120,409,6.2,5.5,103,75,0,33,24,0,4,0,27,3,1,0
5,283,89,372,7.6,3.1,29,70,1,33,25,0,2,3,23,2,4,337,16,353,6.6,1.8,38,66,0,27,20,0,3,3,30,3,1,1
2,255,15,270,6.8,1.2,40,62,0,27,18,2,1,0,7,5,5,342,95,437,9.4,3.7,69,66,0,33,24,0,4,2,36,2,1,1
2,213,37,250,5.4,2.5,27,56,1,23,16,1,1,1,10,1,5,299,161,460,7.7,4.4,43,76,1,37,27,1,3,2,27,0,1,1
5,329,77,406,8,3.3,93,68,1,32,22,1,3,2,27,3,3,342,80,422,8.2,3.5,49,70,1,28,21,0,2,4,26,3,1,0
3,225,94,319,6.5,3.1,44,68,1,33,16,0,1,2,13,2,5,271,85,356,7.1,3.9,61,62,0,27,18,1,2,2,20,1,1,1
5,262,39,301,6.7,2.4,47,61,1,26,16,0,3,1,24,3,3,254,179,433,6.4,5.6,46,77,0,37,23,1,4,1,30,3,1,1
1,120,128,248,5,3.9,97,58,1,26,15,0,5,0,35,1,4,324,103,427,6.1,4.1,30,86,0,34,27,2,4,0,28,4,1,0
3,197,116,313,7.5,3.7,46,64,1,35,18,0,3,2,27,3,4,102,87,189,6.6,4,36,52,1,25,7,0,0,2,6,6,1,0
1,223,59,282,8.1,2.8,29,60,1,30,15,2,2,1,16,5,3,253,93,346,7.6,3.6,35,63,1,30,17,0,3,4,33,2,1,1
3,221,63,284,7.5,2.9,7,55,0,29,16,1,2,2,20,2,4,285,143,428,7.2,5.3,39,69,1,34,24,0,3,2,26,1,1,1
2,126,70,196,5.6,2.6,41,54,0,29,12,0,1,1,10,2,1,342,96,438,9.2,2.8,93,73,0,31,20,0,2,2,20,1,1,1
0,217,104,321,7.2,3.7,109,63,4,32,15,1,1,1,10,3,2,179,154,333,7.5,4.3,30,60,0,28,18,1,4,1,31,0,1,1
3,243,101,344,7.2,3.7,90,62,0,32,20,1,2,2,20,1,4,250,93,343,6.8,3.9,84,61,2,28,17,3,1,0,7,0,1,0
1,108,123,231,4.2,3.2,21,67,1,28,18,0,3,1,24,1,4,276,47,323,4.9,2.9,53,75,1,32,19,3,2,1,17,1,1,0
